nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
abilio santana,Bahia,PSC,1.7,0.0,0.9,9.1,
abou anni,São Paulo,UNIÃO,3.8,0.9,2.4,6.4,6.55
acacio favacho,Amapá,MDB,2.6,0.2,2.1,6.4,6.12
adolfo viana,Bahia,PSDB,2.8,0.9,2.4,5.5,6.82
adriana ventura,São Paulo,NOVO,6.4,2.9,7.3,10.0,8.24
adriano do baldy,Goiás,PP,2.3,0.0,2.1,10.0,6.82
aecio neves,Minas Gerais,PSDB,2.4,0.0,2.1,7.3,5.84
aelton freitas,Minas Gerais,PP,1.6,0.7,0.9,9.1,5.99
afonso florence,Bahia,PT,4.8,2.7,4.8,9.1,2.7
afonso hamm,Rio Grande do Sul,PP,2.2,1.6,3.3,7.3,6.67
afonso motta,Rio Grande do Sul,PDT,3.5,1.3,3.0,5.5,3.39
aguinaldo ribeiro,Paraíba,PP,1.5,0.9,1.2,7.3,
airton faleiro,Pará,PT,4.7,3.5,6.1,7.3,2.93
aj albuquerque,Ceará,PP,2.3,0.2,2.4,10.0,6.7
alan rick,Acre,UNIÃO,3.3,2.7,2.4,5.5,
alceu moreira,Rio Grande do Sul,MDB,3.3,2.4,2.1,7.3,6.21
alcides rodrigues,Goiás,PATRIOTA,1.6,0.4,2.1,8.2,6.16
ale silva,Minas Gerais,REPUBLICANOS,5.7,1.5,3.6,7.3,7.39
alessandro molon,Rio de Janeiro,PSB,6.0,5.6,5.2,7.3,3.06
alex manente,São Paulo,CIDADANIA,3.2,2.4,3.0,8.2,8.29
alex santana,Bahia,REPUBLICANOS,3.3,1.1,2.1,0.9,6.13
alexandre frota,São Paulo,PSDB,5.9,1.3,4.8,0.9,5.04
alexandre leite,São Paulo,UNIÃO,3.2,1.3,2.4,9.1,6.84
alexandre padilha,São Paulo,PT,7.7,3.6,7.6,9.1,2.84
alexandre serfiotis,Rio de Janeiro,PSD,1.4,1.3,2.1,1.8,
alexis fonteyne,São Paulo,NOVO,5.3,2.9,5.8,10.0,7.87
alice portugal,Bahia,PCdoB,5.3,4.0,7.6,9.1,2.85
aliel machado,Paraná,PV,4.3,3.5,3.9,6.4,3.07
aline gurgel,Amapá,REPUBLICANOS,4.4,2.0,4.8,6.4,5.56
aline sleutjes,Paraná,PROS,3.3,1.1,2.7,9.1,7.69
altineu cortes,Rio de Janeiro,PL,3.0,0.2,1.8,9.1,6.5
aluisio mendes,Maranhão,PSC,3.8,0.7,3.0,8.2,7.09
amaro neto,Espírito Santo,REPUBLICANOS,3.5,0.7,2.1,10.0,6.39
andre abdon,Amapá,PP,1.6,0.2,0.9,10.0,6.45
andre de paula,Pernambuco,PSD,3.4,0.4,2.1,6.4,5.83
andre ferreira,Pernambuco,PL,2.0,0.0,1.8,8.2,5.93
andre figueiredo,Ceará,PDT,8.3,2.4,5.8,9.1,3.51
andre fufuca,Maranhão,PP,2.4,0.2,1.5,10.0,5.62
andre janones,Minas Gerais,AVANTE,2.6,0.0,3.6,0.9,5.44
angela amin,Santa Catarina,PP,4.4,1.5,4.5,0.9,6.68
anibal gomes,Ceará,UNIÃO,0.8,0.2,0.9,8.2,
antonio brito,Bahia,PSD,3.3,1.8,4.2,6.4,6.75
arlindo chinaglia,São Paulo,PT,3.1,1.8,4.2,9.1,3.1
arnaldo jardim,São Paulo,CIDADANIA,3.9,2.7,4.8,4.5,7.86
aroldo martins,Paraná,REPUBLICANOS,3.4,1.1,2.7,9.1,6.3
arthur lira,Alagoas,PP,2.7,0.7,0.9,0.9,6.02
arthur oliveira maia,Bahia,UNIÃO,2.2,0.9,2.1,7.3,6.33
assis carvalho,Piauí,PT,2.2,2.5,2.4,10.0,
