,n_prod_leg,n_fisc,n_mobi,n_alin_partd
0,1.7,0.0,0.9,9.1
1,3.8,0.9,2.4,6.4
2,2.6,0.2,2.1,6.4
3,2.8,0.9,2.4,5.5
4,6.4,2.9,7.3,10.0
5,2.3,0.0,2.1,10.0
6,2.4,0.0,2.1,7.3
7,1.6,0.7,0.9,9.1
8,4.8,2.7,4.8,9.1
9,2.2,1.6,3.3,7.3
10,3.5,1.3,3.0,5.5
11,1.5,0.9,1.2,7.3
12,4.7,3.5,6.1,7.3
13,2.3,0.2,2.4,10.0
14,3.3,2.7,2.4,5.5
15,3.3,2.4,2.1,7.3
16,1.6,0.4,2.1,8.2
17,5.7,1.5,3.6,7.3
18,6.0,5.6,5.2,7.3
19,3.2,2.4,3.0,8.2
20,3.3,1.1,2.1,0.9
21,5.9,1.3,4.8,0.9
22,3.2,1.3,2.4,9.1
23,7.7,3.6,7.6,9.1
24,1.4,1.3,2.1,1.8
25,5.3,2.9,5.8,10.0
26,5.3,4.0,7.6,9.1
27,4.3,3.5,3.9,6.4
28,4.4,2.0,4.8,6.4
29,3.3,1.1,2.7,9.1
30,3.0,0.2,1.8,9.1
31,3.8,0.7,3.0,8.2
32,3.5,0.7,2.1,10.0
33,1.6,0.2,0.9,10.0
34,3.4,0.4,2.1,6.4
35,2.0,0.0,1.8,8.2
36,8.3,2.4,5.8,9.1
37,2.4,0.2,1.5,10.0
38,2.6,0.0,3.6,0.9
39,4.4,1.5,4.5,0.9
40,0.8,0.2,0.9,8.2
41,3.3,1.8,4.2,6.4
42,3.1,1.8,4.2,9.1
43,3.9,2.7,4.8,4.5
44,3.4,1.1,2.7,9.1
45,2.7,0.7,0.9,0.9
46,2.2,0.9,2.1,7.3
47,2.2,2.5,2.4,10.0
48,1.7,1.5,1.2,8.2
49,2.2,0.2,2.4,0.9
50,4.3,1.6,3.3,6.4
51,3.5,2.4,5.5,10.0
52,5.8,2.5,6.7,2.7
53,4.1,2.5,3.6,0.9
54,3.5,0.7,1.5,9.1
55,5.7,2.5,6.1,9.1
56,3.8,0.2,2.7,8.2
57,3.4,3.3,4.5,9.1
58,2.5,1.1,3.0,4.5
59,2.8,1.8,1.2,9.1
60,2.6,1.6,2.4,5.5
61,4.4,1.5,3.3,7.3
62,5.5,1.3,4.2,7.3
63,3.1,1.3,1.8,9.1
64,5.9,1.8,6.7,3.6
65,4.3,0.5,3.0,0.9
66,5.1,4.7,5.5,9.1
67,5.0,2.5,4.2,8.2
68,2.0,0.7,1.8,6.4
69,1.8,1.6,1.5,0.9
70,3.1,0.2,2.4,10.0
71,4.8,2.4,5.5,6.4
72,6.7,2.7,6.4,4.5
73,3.9,0.5,3.9,5.5
74,2.7,0.4,2.7,5.5
75,5.1,1.1,3.3,0.9
76,3.1,1.1,3.6,8.2
77,4.2,1.6,4.5,6.4
78,4.7,0.7,3.6,5.5
79,4.0,1.5,2.4,5.5
80,2.7,1.1,2.1,9.1
81,5.1,1.6,5.5,6.4
82,4.0,1.8,3.3,8.2
83,4.2,2.5,2.7,1.8
84,4.9,2.9,6.1,9.1
85,3.5,2.5,5.2,8.2
86,7.0,3.6,9.1,4.5
87,4.7,0.4,3.6,5.5
