,nome,estado,regiao,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
0,abou anni,São Paulo,sudeste,UNIÃO,direita,3.8,0.9,2.4,6.4,2.8529413,6.55
1,acacio favacho,Amapá,norte,MDB,centro,2.6,0.2,2.1,6.4,2.0294118,6.12
2,adolfo viana,Bahia,nordeste,PSDB,centro,2.8,0.9,2.4,5.5,2.3294117,6.82
3,adriana ventura,São Paulo,sudeste,NOVO,direita,6.4,2.9,7.3,10.0,5.7411766,8.24
4,adriano do baldy,Goiás,centro oeste,PP,direita,2.3,0.0,2.1,10.0,2.0411766,6.82
5,aecio neves,Minas Gerais,sudeste,PSDB,centro,2.4,0.0,2.1,7.3,1.9294118,5.84
6,aelton freitas,Minas Gerais,sudeste,PP,direita,1.6,0.7,0.9,9.1,1.6529412,5.99
7,afonso florence,Bahia,nordeste,PT,esquerda,4.8,2.7,4.8,9.1,4.435294,2.7
8,afonso hamm,Rio Grande do Sul,sul,PP,direita,2.2,1.6,3.3,7.3,2.517647,6.67
9,afonso motta,Rio Grande do Sul,sul,PDT,esquerda,3.5,1.3,3.0,5.5,2.8823528,3.39
10,airton faleiro,Pará,norte,PT,esquerda,4.7,3.5,6.1,7.3,4.747059,2.93
11,aj albuquerque,Ceará,nordeste,PP,direita,2.3,0.2,2.4,10.0,2.1529412,6.7
12,alceu moreira,Rio Grande do Sul,sul,MDB,centro,3.3,2.4,2.1,7.3,3.0588236,6.21
13,alcides rodrigues,Goiás,centro oeste,PATRIOTA,direita,1.6,0.4,2.1,8.2,1.7235295,6.16
14,ale silva,Minas Gerais,sudeste,REPUBLICANOS,direita,5.7,1.5,3.6,7.3,4.1882353,7.39
15,alessandro molon,Rio de Janeiro,sudeste,PSB,esquerda,6.0,5.6,5.2,7.3,5.817647,3.06
16,alex manente,São Paulo,sudeste,CIDADANIA,centro,3.2,2.4,3.0,8.2,3.2235293,8.29
17,alex santana,Bahia,nordeste,REPUBLICANOS,direita,3.3,1.1,2.1,0.9,2.3,6.13
18,alexandre frota,São Paulo,sudeste,PSDB,centro,5.9,1.3,4.8,0.9,4.0588236,5.04
19,alexandre leite,São Paulo,sudeste,UNIÃO,direita,3.2,1.3,2.4,9.1,2.8470588,6.84
20,alexandre padilha,São Paulo,sudeste,PT,esquerda,7.7,3.6,7.6,9.1,6.5588236,2.84
21,alexis fonteyne,São Paulo,sudeste,NOVO,direita,5.3,2.9,5.8,10.0,4.9588237,7.87
22,alice portugal,Bahia,nordeste,PCdoB,esquerda,5.3,4.0,7.6,9.1,5.547059,2.85
23,aliel machado,Paraná,sul,PV,esquerda,4.3,3.5,3.9,6.4,4.117647,3.07
24,aline gurgel,Amapá,norte,REPUBLICANOS,direita,4.4,2.0,4.8,6.4,3.8823528,5.56
25,aline sleutjes,Paraná,sul,PROS,centro,3.3,1.1,2.7,9.1,2.8882353,7.69
26,altineu cortes,Rio de Janeiro,sudeste,PL,direita,3.0,0.2,1.8,9.1,2.3235295,6.5
27,aluisio mendes,Maranhão,nordeste,PSC,direita,3.8,0.7,3.0,8.2,3.0058823,7.09
28,amaro neto,Espírito Santo,sudeste,REPUBLICANOS,direita,3.5,0.7,2.1,10.0,2.8117647,6.39
29,andre abdon,Amapá,norte,PP,direita,1.6,0.2,0.9,10.0,1.5588236,6.45
30,andre de paula,Pernambuco,nordeste,PSD,centro,3.4,0.4,2.1,6.4,2.464706,5.83
31,andre ferreira,Pernambuco,nordeste,PL,direita,2.0,0.0,1.8,8.2,1.7411765,5.93
32,andre figueiredo,Ceará,nordeste,PDT,esquerda,8.3,2.4,5.8,9.1,6.170588,3.51
33,andre fufuca,Maranhão,nordeste,PP,direita,2.4,0.2,1.5,10.0,2.0411766,5.62
34,andre janones,Minas Gerais,sudeste,AVANTE,centro,2.6,0.0,3.6,0.9,1.9117647,5.44
35,angela amin,Santa Catarina,sul,PP,direita,4.4,1.5,4.5,0.9,3.3588235,6.68
36,antonio brito,Bahia,nordeste,PSD,centro,3.3,1.8,4.2,6.4,3.2,6.75
37,arlindo chinaglia,São Paulo,sudeste,PT,esquerda,3.1,1.8,4.2,9.1,3.264706,3.1
38,arnaldo jardim,São Paulo,sudeste,CIDADANIA,centro,3.9,2.7,4.8,4.5,3.7411764,7.86
39,aroldo martins,Paraná,sul,REPUBLICANOS,direita,3.4,1.1,2.7,9.1,2.9352942,6.3
40,arthur lira,Alagoas,nordeste,PP,direita,2.7,0.7,0.9,0.9,1.6882353,6.02
41,arthur oliveira maia,Bahia,nordeste,UNIÃO,direita,2.2,0.9,2.1,7.3,2.1,6.33
42,atila lins,Amazonas,norte,PSD,centro,1.7,1.5,1.2,8.2,1.9352942,6.43
43,atila lira,Piauí,nordeste,PP,direita,2.2,0.2,2.4,0.9,1.5705882,6.03
44,augusto coutinho,Pernambuco,nordeste,REPUBLICANOS,direita,4.3,1.6,3.3,6.4,3.4529412,6.81
45,aurea carolina,Minas Gerais,sudeste,PSOL,esquerda,3.5,2.4,5.5,10.0,3.9117646,3.45
46,aureo ribeiro,Rio de Janeiro,sudeste,SOLIDARIEDADE,centro,5.8,2.5,6.7,2.7,4.8058825,5.47
47,bacelar,Bahia,nordeste,PV,esquerda,4.1,2.5,3.6,0.9,3.3529413,3.37
48,baleia rossi,São Paulo,sudeste,MDB,centro,3.5,0.7,1.5,9.1,2.6529412,5.6
49,benedita da silva,Rio de Janeiro,sudeste,PT,esquerda,5.7,2.5,6.1,9.1,5.029412,2.78
50,benes leocadio,Rio Grande do Norte,nordeste,UNIÃO,direita,3.8,0.2,2.7,8.2,2.8058825,6.55
51,beto faro,Pará,norte,PT,esquerda,3.4,3.3,4.5,9.1,3.9,2.98
52,beto pereira,Mato Grosso do Sul,centro oeste,PSDB,centro,2.5,1.1,3.0,4.5,2.2941177,6.03
53,beto rosado,Rio Grande do Norte,nordeste,PP,direita,2.8,1.8,1.2,9.1,2.5941176,5.43
54,bia kicis,Distrito Federal,centro oeste,PL,direita,4.4,1.5,3.3,7.3,3.5235295,7.49
55,bibo nunes,Rio Grande do Sul,sul,PL,direita,5.5,1.3,4.2,7.3,4.1411767,7.65
56,bilac pinto,Minas Gerais,sudeste,UNIÃO,direita,3.1,1.3,1.8,9.1,2.6941175,7.11
57,bira do pindare,Maranhão,nordeste,PSB,esquerda,5.9,1.8,6.7,3.6,4.7,3.15
58,bohn gass,Rio Grande do Sul,sul,PT,esquerda,5.1,4.7,5.5,9.1,5.288235,2.85
59,bosco costa,Sergipe,nordeste,PL,direita,5.0,2.5,4.2,8.2,4.3117647,6.58
60,bosco saraiva,Amazonas,norte,SOLIDARIEDADE,centro,2.0,0.7,1.8,6.4,1.8411765,6.51
61,bruna furlan,São Paulo,sudeste,PSDB,centro,1.8,1.6,1.5,0.9,1.6352941,5.72
62,caca leao,Bahia,nordeste,PP,direita,3.1,0.2,2.4,10.0,2.5294118,6.76
63,camilo capiberibe,Amapá,norte,PSB,esquerda,4.8,2.4,5.5,6.4,4.3117647,3.04
64,capitao alberto neto,Amazonas,norte,PL,direita,6.7,2.7,6.4,4.5,5.3411765,7.63
65,capitao augusto,São Paulo,sudeste,PL,direita,3.9,0.5,3.9,5.5,2.9941177,6.9
66,capitao fabio abreu,Piauí,nordeste,PSD,centro,2.7,0.4,2.7,5.5,2.1882353,5.25
67,capitao wagner,Ceará,nordeste,UNIÃO,direita,5.1,1.1,3.3,0.9,3.3588235,6.86
68,carla dickson,Rio Grande do Norte,nordeste,UNIÃO,direita,3.1,1.1,3.6,8.2,2.9,7.32
69,carla zambelli,São Paulo,sudeste,PL,direita,4.2,1.6,4.5,6.4,3.6176472,7.22
70,carlos bezerra,Mato Grosso,centro oeste,MDB,centro,4.7,0.7,3.6,5.5,3.3764706,5.48
71,carlos chiodini,Santa Catarina,sul,MDB,centro,4.0,1.5,2.4,5.5,3.0705884,6.58
72,carlos gomes,Rio Grande do Sul,sul,REPUBLICANOS,direita,2.7,1.1,2.1,9.1,2.5,6.54
73,carlos henrique gaguim,Tocantins,norte,UNIÃO,direita,5.1,1.6,5.5,6.4,4.217647,4.48
74,carlos jordy,Rio de Janeiro,sudeste,PL,direita,4.0,1.8,3.3,8.2,3.4764705,7.46
75,carlos sampaio,São Paulo,sudeste,PSDB,centro,4.2,2.5,2.7,1.8,3.2941177,7.08
76,carlos veras,Pernambuco,nordeste,PT,esquerda,4.9,2.9,6.1,9.1,4.7705884,2.94
77,carlos zarattini,São Paulo,sudeste,PT,esquerda,3.5,2.5,5.2,8.2,3.782353,2.93
78,carmen zanotto,Santa Catarina,sul,CIDADANIA,centro,7.0,3.6,9.1,4.5,6.2235293,7.3
79,caroline de toni,Santa Catarina,sul,PL,direita,4.7,0.4,3.6,5.5,3.2882352,7.54
80,cassio andrade,Pará,norte,PSB,esquerda,4.2,2.0,4.2,0.9,3.3588235,4.73
81,celina leao,Distrito Federal,centro oeste,PP,direita,5.1,1.1,4.2,8.2,3.947059,5.46
82,celio moura,Tocantins,norte,PT,esquerda,3.8,2.4,5.5,9.1,4.0,2.74
83,celio silveira,Goiás,centro oeste,MDB,centro,4.2,1.3,2.4,5.5,3.1058824,6.84
84,celio studart,Ceará,nordeste,PSD,centro,6.3,2.2,5.8,0.9,4.6882353,4.93
85,celso maldaner,Santa Catarina,sul,MDB,centro,3.6,0.9,2.4,7.3,2.8117647,6.57
86,celso russomanno,São Paulo,sudeste,REPUBLICANOS,direita,3.2,1.6,4.8,7.3,3.2529411,6.24
87,celso sabino,Pará,norte,UNIÃO,direita,4.5,1.6,3.9,3.6,3.4882352,6.14
88,cezinha de madureira,São Paulo,sudeste,PSD,centro,4.1,0.4,3.6,8.2,3.164706,6.45
89,charles fernandes,Bahia,nordeste,PSD,centro,3.6,0.9,2.7,0.9,2.4882352,5.76
90,charlles evangelista,Minas Gerais,sudeste,PP,direita,2.8,0.9,2.4,7.3,2.4352942,6.77
91,chico d'angelo,Rio de Janeiro,sudeste,PDT,esquerda,3.4,1.6,3.0,10.0,3.1882353,3.61
92,chiquinho brazao,Rio de Janeiro,sudeste,UNIÃO,direita,3.3,0.9,2.4,6.4,2.6176472,6.33
93,chris tonietto,Rio de Janeiro,sudeste,PL,direita,6.0,3.1,5.8,4.5,5.0235295,7.49
94,christiane de souza yared,Paraná,sul,PP,direita,3.6,0.0,2.1,4.5,2.3294117,6.47
95,christino aureo,Rio de Janeiro,sudeste,PP,direita,4.3,1.6,5.2,8.2,3.8941176,6.53
96,clarissa garotinho,Rio de Janeiro,sudeste,UNIÃO,direita,3.1,1.8,2.4,0.9,2.464706,4.92
97,claudio cajado,Bahia,nordeste,PP,direita,1.7,1.3,1.8,8.2,1.982353,6.29
98,cleber verde,Maranhão,nordeste,REPUBLICANOS,direita,4.1,1.3,4.2,9.1,3.5882354,6.3
99,coronel armando,Santa Catarina,sul,PL,direita,4.1,1.5,4.8,9.1,3.7529411,7.1
100,coronel chrisostomo,Rondônia,norte,PL,direita,3.3,0.5,4.5,9.1,3.0294118,7.33
101,coronel tadeu,São Paulo,sudeste,PL,direita,6.9,1.6,5.5,7.3,5.117647,7.1
102,covatti filho,Rio Grande do Sul,sul,PP,direita,1.1,1.3,1.2,9.1,1.6470588,7.26
103,cristiano vale,Pará,norte,PP,direita,1.9,1.5,1.2,9.1,2.0823529,5.6
104,da vitoria,Espírito Santo,sudeste,PP,direita,2.6,1.5,2.1,7.3,2.464706,7.21
105,dagoberto nogueira,Mato Grosso do Sul,centro oeste,PSDB,centro,5.2,1.5,4.2,6.4,4.0058823,2.95
106,damiao feliciano,Paraíba,nordeste,UNIÃO,direita,2.4,0.2,3.0,8.2,2.2,3.65
107,daniel almeida,Bahia,nordeste,PCdoB,esquerda,4.0,2.2,3.9,10.0,3.8058825,2.72
108,daniel coelho,Pernambuco,nordeste,CIDADANIA,centro,3.2,1.8,4.5,0.9,2.8823528,7.76
109,daniel freitas,Santa Catarina,sul,PL,direita,3.3,0.7,4.2,7.3,2.9294116,7.6
110,daniel silveira,Rio de Janeiro,sudeste,PTB,direita,3.6,0.9,4.8,8.2,3.2882352,7.03
111,daniel trzeciak,Rio Grande do Sul,sul,PSDB,centro,2.3,1.3,1.8,0.9,1.8352941,7.87
112,daniela do waguinho,Rio de Janeiro,sudeste,UNIÃO,direita,3.0,0.4,2.7,5.5,2.3294117,6.2
113,danilo cabral,Pernambuco,nordeste,PSB,esquerda,5.3,4.4,7.0,6.4,5.4,3.61
