,nome,estado,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
0,abou anni,São Paulo,UNIÃO,direita,3.8,0.9,2.4,6.4,2.852941176470588,6.55
1,acacio favacho,Amapá,MDB,centro,2.6,0.2,2.1,6.4,2.0294117647058822,6.12
2,adolfo viana,Bahia,PSDB,centro,2.8,0.9,2.4,5.5,2.329411764705882,6.82
3,adriana ventura,São Paulo,NOVO,direita,6.4,2.9,7.3,10.0,5.741176470588235,8.24
4,adriano do baldy,Goiás,PP,direita,2.3,0.0,2.1,10.0,2.0411764705882356,6.82
5,aecio neves,Minas Gerais,PSDB,centro,2.4,0.0,2.1,7.3,1.9294117647058822,5.84
6,aelton freitas,Minas Gerais,PP,direita,1.6,0.7,0.9,9.1,1.6529411764705884,5.99
7,afonso florence,Bahia,PT,esquerda,4.8,2.7,4.8,9.1,4.435294117647058,2.7
8,afonso hamm,Rio Grande do Sul,PP,direita,2.2,1.6,3.3,7.3,2.5176470588235293,6.67
9,afonso motta,Rio Grande do Sul,PDT,esquerda,3.5,1.3,3.0,5.5,2.8823529411764706,3.39
10,airton faleiro,Pará,PT,esquerda,4.7,3.5,6.1,7.3,4.747058823529412,2.93
11,aj albuquerque,Ceará,PP,direita,2.3,0.2,2.4,10.0,2.1529411764705877,6.7
12,alceu moreira,Rio Grande do Sul,MDB,centro,3.3,2.4,2.1,7.3,3.0588235294117645,6.21
13,alcides rodrigues,Goiás,PATRIOTA,direita,1.6,0.4,2.1,8.2,1.723529411764706,6.16
14,ale silva,Minas Gerais,REPUBLICANOS,direita,5.7,1.5,3.6,7.3,4.188235294117647,7.39
15,alessandro molon,Rio de Janeiro,PSB,esquerda,6.0,5.6,5.2,7.3,5.817647058823529,3.06
16,alex manente,São Paulo,CIDADANIA,centro,3.2,2.4,3.0,8.2,3.2235294117647055,8.29
17,alex santana,Bahia,REPUBLICANOS,direita,3.3,1.1,2.1,0.9,2.3000000000000003,6.13
