nome,nota
abou anni,6.55
acacio favacho,6.12
adolfo viana,6.82
adriana ventura,8.24
adriano do baldy,6.82
aecio neves,5.84
aelton freitas,5.99
afonso florence,2.7
afonso hamm,6.67
afonso motta,3.39
airton faleiro,2.93
aj albuquerque,6.7
alceu moreira,6.21
alcides rodrigues,6.16
ale silva,7.39
alencar santana,2.97
alessandro molon,3.06
alex manente,8.29
alex santana,6.13
alexandre frota,5.04
alexandre leite,6.84
alexandre padilha,2.84
alexis fonteyne,7.87
alice portugal,2.85
aliel machado,3.07
aline gurgel,5.56
aline sleutjes,7.69
altineu cortes,6.5
aluisio mendes,7.09
amaro neto,6.39
andre abdon,6.45
andre de paula,5.83
andre ferreira,5.93
andre figueiredo,3.51
andre fufuca,5.62
andre janones,5.44
angela amin,6.68
antonio brito,6.75
arlindo chinaglia,3.1
arnaldo jardim,7.86
aroldo martins,6.3
arthur lira,6.02
arthur oliveira maia,6.33
atila lins,6.43
atila lira,6.03
augusto coutinho,6.81
aurea carolina,3.45
aureo ribeiro,5.47
bacelar,3.37
baleia rossi,5.6
benedita da silva,2.78
benes leocadio,6.55
beto faro,2.98
beto pereira,6.03
beto rosado,5.43
bia kicis,7.49
bibo nunes,7.65
bilac pinto,7.11
bira do pindare,3.15
bohn gass,2.85
bosco costa,6.58
bosco saraiva,6.51
bozzella,6.67
bruna furlan,5.72
caca leao,6.76
camilo capiberibe,3.04
capitao alberto neto,7.63
capitao augusto,6.9
capitao derrite,7.26
capitao fabio abreu,5.25
capitao wagner,6.86
carla dickson,7.32
carla zambelli,7.22
carlos bezerra,5.48
carlos chiodini,6.58
carlos gomes,6.54
carlos henrique gaguim,4.48
carlos jordy,7.46
carlos sampaio,7.08
carlos veras,2.94
carlos zarattini,2.93
carmen zanotto,7.3
caroline de toni,7.54
cassio andrade,4.73
celina leao,5.46
celio moura,2.74
celio silveira,6.84
celio studart,4.93
celso maldaner,6.57
celso russomanno,6.24
celso sabino,6.14
cezinha de madureira,6.45
charles fernandes,5.76
charlles evangelista,6.77
chico d'angelo,3.61
chiquinho brazao,6.33
chris tonietto,7.49
christiane de souza yared,6.47
christino aureo,6.53
clarissa garotinho,4.92
claudio cajado,6.29
cleber verde,6.3
coronel armando,7.1
coronel chrisostomo,7.33
coronel tadeu,7.1
covatti filho,7.26
cristiano vale,5.6
da vitoria,7.21
dagoberto nogueira,2.95
damiao feliciano,3.65
daniel almeida,2.72
daniel coelho,7.76
daniel freitas,7.6
daniel silveira,7.03
daniel trzeciak,7.87
daniela do waguinho,6.2
danilo cabral,3.61
danilo forte,7.04
danrlei de deus hinterholz,6.33
darci de matos,7.44
david miranda,3.31
david soares,6.5
