,count,mean,std,min,25%,50%,75%,max
0,4.0,2.925,4.174825345648206,0.0,0.675,1.3,3.55,9.1
1,4.0,3.375,2.338624952117519,0.9,2.025,3.0999999999999996,4.45,6.4
2,4.0,2.825,2.5979158313283874,0.2,1.625,2.35,3.5500000000000003,6.4
3,4.0,2.9,1.9165942015286734,0.9,2.025,2.5999999999999996,3.4749999999999996,5.5
4,4.0,6.65,2.9308701779505695,2.9,5.525,6.85,7.975,10.0
5,4.0,3.6,4.391658760271189,0.0,1.5750000000000002,2.2,4.225,10.0
6,4.0,2.95,3.0903074280724887,0.0,1.5750000000000002,2.25,3.625,7.3
7,4.0,3.0749999999999997,4.035157989472036,0.7,0.85,1.25,3.475,9.1
8,4.0,5.35,2.6888659319497505,2.7,4.275,4.8,5.875,9.1
9,4.0,3.5999999999999996,2.565151067676132,1.6,2.0500000000000003,2.75,4.3,7.3
10,4.0,3.325,1.7289206652321174,1.3,2.575,3.25,4.0,5.5
11,4.0,2.7249999999999996,3.059820256158848,0.9,1.125,1.35,2.95,7.3
12,4.0,5.3999999999999995,1.653279569018299,3.5,4.4,5.4,6.3999999999999995,7.3
13,4.0,3.725,4.304551854335904,0.2,1.775,2.3499999999999996,4.3,10.0
14,4.0,3.475,1.4008925726121901,2.4,2.625,3.0,3.8499999999999996,5.5
15,4.0,3.7749999999999995,2.4046829312822093,2.1,2.325,2.8499999999999996,4.3,7.3
16,4.0,3.0749999999999997,3.490343822605446,0.4,1.3,1.85,3.625,8.2
17,4.0,4.525,2.5223996511258875,1.5,3.075,4.65,6.1,7.3
18,4.0,6.025,0.9105858919765156,5.2,5.5,5.8,6.325,7.3
19,4.0,4.199999999999999,2.6882460204874596,2.4,2.85,3.1,4.45,8.2
20,4.0,1.85,1.0999999999999999,0.9,1.05,1.6,2.4,3.3
21,4.0,3.225,2.4998333277774076,0.9,1.2,3.05,5.075,5.9
22,4.0,4.0,3.488074922742725,1.3,2.125,2.8,4.675,9.1
23,4.0,7.0,2.367840084690405,3.6,6.6,7.65,8.05,9.1
24,4.0,1.6500000000000001,0.36968455021364727,1.3,1.375,1.6,1.875,2.1
25,4.0,6.0,2.9518355871107276,2.9,4.7,5.55,6.85,10.0
26,4.0,6.5,2.2847319317591723,4.0,4.975,6.449999999999999,7.975,9.1
27,4.0,4.525,1.291962331752233,3.5,3.8,4.1,4.825,6.4
28,4.0,4.4,1.818424226264781,2.0,3.8000000000000003,4.6,5.2,6.4
29,4.0,4.05,3.492372641438291,1.1,2.3000000000000003,3.0,4.75,9.1
30,4.0,3.525,3.889622946593495,0.2,1.4,2.4,4.525,9.1
31,4.0,3.925,3.1383382014478083,0.7,2.425,3.4,4.8999999999999995,8.2
32,4.0,4.075,4.112075712662239,0.7,1.75,2.8,5.125,10.0
33,4.0,3.175,4.585756934974494,0.2,0.7250000000000001,1.25,3.7,10.0
34,4.0,3.075,2.534265179494837,0.4,1.675,2.75,4.15,6.4
35,4.0,3.0,3.581433604950211,0.0,1.35,1.9,3.55,8.2
36,4.0,6.4,3.014409837209709,2.4,4.95,7.050000000000001,8.5,9.1
37,4.0,3.525,4.410120935605583,0.2,1.175,1.95,4.3,10.0
38,4.0,1.7750000000000001,1.6255768207008858,0.0,0.675,1.75,2.85,3.6
39,4.0,2.825,1.8927493230747703,0.9,1.35,2.95,4.425000000000001,4.5
40,4.0,2.525,3.7959408144314715,0.2,0.65,0.8500000000000001,2.7249999999999996,8.2
41,4.0,3.9250000000000003,1.924188140489386,1.8,2.925,3.75,4.75,6.4
